zone_pickup	zone_dropoff	trip_distance
Meatpacking/West Village West	JFK	21.830559383202107
Meatpacking/West Village West	LGA	12.841310154271286
Meatpacking/West Village West	EWR	16.040347048300568
Melrose South	JFK	16.907999999999998
Melrose South	LGA	7.9270588235294115
Melrose South	EWR	25.735
Middle Village	JFK	10.50236286919831
Middle Village	LGA	5.90875
Middle Village	EWR	22.856666666666666
Midtown Center	JFK	17.183869475589436
Midtown Center	LGA	10.350598581122028
Midtown Center	EWR	18.43692894891371
Midtown East	JFK	16.817889051280442
Midtown East	LGA	9.95545199906109
Midtown East	EWR	18.519572659803654
Midtown North	JFK	17.500335694050985
Midtown North	LGA	10.59124465811966
Midtown North	EWR	19.18809206488379
Midtown South	JFK	16.741663454124833
Midtown South	LGA	9.84638061600171
Midtown South	EWR	17.767771084337376
Midwood	JFK	15.897142857142853
Midwood	LGA	19.113333333333333
Morningside Heights	JFK	18.843008966244717
Morningside Heights	LGA	8.343640635488931
Morningside Heights	EWR	23.228061497326202
Morrisania/Melrose	JFK	20.03
Morrisania/Melrose	LGA	8.664285714285715
Morrisania/Melrose	EWR	25.17
Mott Haven/Port Morris	JFK	18.314999999999998
Mott Haven/Port Morris	LGA	6.92974683544304
Mott Haven/Port Morris	EWR	26.05
Mount Hope	JFK	19.937
Mount Hope	LGA	10.475
Mount Hope	EWR	25.96
Murray Hill	JFK	16.299768449765164
Murray Hill	LGA	9.415074155970196
Murray Hill	EWR	17.70878264445814
Murray Hill-Queens	JFK	14.13375
Murray Hill-Queens	LGA	4.196363636363636
Newark Airport	JFK	27.944999999999997
Newark Airport	LGA	26.748235294117645
Newark Airport	EWR	1.3220541310541372
North Corona	JFK	10.923846153846153
North Corona	LGA	2.4859259259259257
North Corona	EWR	33.4
Norwood	JFK	21.122857142857146
Norwood	LGA	9.01
Oakland Gardens	JFK	14.225
Oakland Gardens	LGA	10.1
Oakwood	JFK	17.13
Oakwood	LGA	23.9
Oakwood	EWR	16.8
Ocean Hill	JFK	8.825000000000001
Ocean Hill	LGA	11.703333333333331
Ocean Hill	EWR	20.07
Ocean Parkway South	JFK	17.84
Ocean Parkway South	EWR	22.6
Old Astoria	JFK	14.352594936708853
Old Astoria	LGA	3.6755872291904277
Old Astoria	EWR	27.218749999999996
Ozone Park	JFK	5.374060150375942
Ozone Park	LGA	10.145999999999999
Park Slope	JFK	16.292380952380956
Park Slope	LGA	11.8571568627451
Park Slope	EWR	19.38958333333333
Parkchester	JFK	18.567692307692308
Parkchester	LGA	10.446428571428571
Parkchester	EWR	30.36
Pelham Bay	JFK	16.4
Pelham Bay	LGA	10.21
Pelham Bay Park	LGA	0.0
Pelham Parkway	JFK	20.75857142857143
Pelham Parkway	LGA	11.337
Penn Station/Madison Sq West	JFK	17.238857837901854
Penn Station/Madison Sq West	LGA	10.216575620767488
Penn Station/Madison Sq West	EWR	17.003901915160156
Prospect Heights	JFK	13.177714285714286
Prospect Heights	LGA	11.204678899082564
Prospect Heights	EWR	18.94636363636364
Prospect Park	JFK	13.113125000000004
