crash_date,hour,latitude,longitude
2022-01-31,20,40.835970000000000000,-73.945984000000000000
2022-02-04,13,40.720913000000000000,-73.940740000000000000
2022-02-04,8,40.777714000000000000,-73.824060000000000000
2022-02-03,17,40.830500000000000000,-73.866060000000000000
2022-02-02,11,40.832626000000000000,-73.925385000000000000
2022-02-03,0,40.738140000000000000,-74.008160000000000000
2022-02-02,18,40.709940000000000000,-73.928030000000000000
2022-02-01,0,40.760520000000000000,-73.873790000000000000
2022-02-04,21,40.792300000000000000,-73.807236000000000000
2022-02-02,15,40.711338000000000000,-73.856460000000000000
2022-02-02,6,40.758533000000000000,-73.988850000000000000
2022-02-01,7,40.738216000000000000,-73.985680000000000000
2022-02-02,17,40.759580000000000000,-73.984375000000000000
2022-02-03,8,40.876830000000000000,-73.864720000000000000
