hour	conditions	trip_delay	delay_indicator
12	Snow, Partially cloudy	0.06842105263157895	82.31740438963517
13	Clear	0.23472510117461257	39.338129361707516
13	Overcast	0.23164289487585843	40.13468839540227
13	Partially cloudy	0.2435164887818785	37.066101295283005
13	Rain	0.20877817319098457	46.04379987128391
13	Rain, Overcast	0.20877817319098457	46.04379987128391
13	Rain, Partially cloudy	0.23927414128321453	48.1624848259698
13	Snow, Overcast	0.16180371352785147	58.183782264001564
13	Snow, Partially cloudy	0.18536585365853658	52.09443140456509
14	Clear	0.2607277847772919	32.618049485031804
14	Overcast	0.2465955459416941	36.2703561185552
14	Partially cloudy	0.2634191314415583	31.92250340847872
14	Rain	0.22916108281961942	40.776082780368924
14	Rain, Overcast	0.22916108281961942	40.776082780368924
14	Rain, Partially cloudy	0.24736615781552354	36.07120077654601
14	Snow, Overcast	0.12311557788944724	68.18226418003546
14	Snow, Partially cloudy	0.2250453720508167	61.83973857598837
15	Clear	0.27387286474376926	29.2208621519938
15	Overcast	0.26734589333485115	30.90767917022606
15	Partially cloudy	0.27238285370750576	29.605937528590204
15	Rain	0.26819407008086255	30.688478122756166
15	Rain, Overcast	0.26819407008086255	30.688478122756166
15	Rain, Partially cloudy	0.25120161902352645	35.079972098940786
15	Snow, Overcast	0.25096030729833546	55.14233620309406
15	Snow, Partially cloudy	0.2250453720508167	61.83973857598837
16	Clear	0.2788231829040809	37.941512144872817
16	Overcast	0.26433452168746285	41.685931842835615
16	Partially cloudy	0.27142591559769474	39.853246638420046
16	Rain	0.2306357665138183	50.39496857041767
16	Rain, Overcast	0.2306357665138183	50.39496857041767
16	Rain, Partially cloudy	0.27968258721365474	47.7194094690513
16	Snow, Overcast	0.1992110453648915	58.51630863861311
16	Snow, Partially cloudy	0.17883211678832117	63.78299687465005
17	Clear	0.28795395160374143	35.581775129465427
17	Overcast	0.26245660129492354	42.17125771276244
17	Partially cloudy	0.2881939684715559	45.519745665579777
17	Rain	0.10857142857142857	71.94102410838812
17	Rain, Overcast	0.24154347281383112	67.57600346945201
17	Rain, Partially cloudy	0.24181132075471698	67.506781400489466
17	Snow, Overcast	0.1992110453648915	78.51630863861311
17	Snow, Partially cloudy	0.25165125495376484	74.96376911724877
18	Clear	0.2785371594097945	48.015431466339024
18	Overcast	0.2436308926780341	47.036534988508066
18	Partially cloudy	0.2718039184240772	49.755556368226635
18	Rain	0.25234355206485937	54.78485328086688
18	Rain, Overcast	0.25234355206485937	54.78485328086688
18	Rain, Partially cloudy	0.2517218760249262	54.94551795339078
18	Snow, Overcast	0.14383561643835616	72.82742018685161
18	Snow, Partially cloudy	0.25209302325581395	74.849599429146
19	Clear	0.2515218073423282	34.997223290748366
19	Overcast	0.21371545547594678	44.767818828880145
19	Partially cloudy	0.2540050183362285	34.35546736722016
19	Rain	0.09205020920502092	66.21073393906502
19	Rain, Overcast	0.22742474916387959	51.224817266294444
19	Rain, Partially cloudy	0.250613647520864	35.231926240423846
19	Snow, Overcast	0.21518987341772153	54.38677329943682
19	Snow, Partially cloudy	0.22033898305084745	53.05604803441836
20	Clear	0.25195665261890426	24.88484277505863
20	Overcast	0.23246878001921228	19.92124834370985
20	Partially cloudy	0.255300519106886	14.020660822167386
20	Rain	0.1615720524017467	28.24365228724733
20	Rain, Overcast	0.2425712553062462	27.310385483615875
20	Rain, Partially cloudy	0.23039480800432666	30.457241390234685
20	Snow, Overcast	0.15942028985507245	58.79974935823581
20	Snow, Partially cloudy	0.29553264604810997	53.623152980871993
21	Clear	0.2839943342776204	16.605090457959477
21	Overcast	0.2854020979020979	16.241270932693524
21	Partially cloudy	0.2872554831061055	15.762285886246374
21	Rain	0.26997840172786175	20.227339135044943
21	Rain, Overcast	0.26997840172786175	20.227339135044943
21	Rain, Partially cloudy	0.26634958382877527	21.16516334243785
21	Snow, Overcast	0.17391304347826086	55.054272027166334
21	Snow, Partially cloudy	0.30566037735849055	51.005763006236677
22	Clear	0.31675921251892986	18.13740295710224
22	Overcast	0.3133956386292835	19.00667805020052
22	Partially cloudy	0.3148633470610258	18.627366512680496
22	Rain	0.29620253164556964	23.450029129813032
22	Rain, Overcast	0.29620253164556964	23.450029129813032
22	Rain, Partially cloudy	0.2733668341708543	29.351639648731805
22	Snow, Overcast	0.17073170731707318	55.876449977888896
22	Snow, Partially cloudy	0.3076923076923077	50.48063512498659
23	Clear	0.3553807651054701	8.156128627554239
23	Overcast	0.3400597907324365	12.115649619636713
23	Partially cloudy	0.35493037794828075	8.272525754788802
23	Rain	0.29620253164556964	23.450029129813032
23	Rain, Overcast	0.3348623853211009	13.458856345885636
23	Rain, Partially cloudy	0.3182481751824818	17.752598519785394
23	Snow, Overcast	0.30434782608695654	41.34497604754108
23	Snow, Partially cloudy	0.31746031746031744	47.956210843240143
